scenario,month,beginning_balance,scheduled_principal,prepayment,interest,total_cash_flow,ending_balance
Base Prepayment,16,63680914.62482433,1666666.6666666667,578008.1100516022,291870.85869711154,2536545.635415381,61436239.848106064
Base Prepayment,17,61436239.848106064,1666666.6666666667,557086.4627190918,281582.7659704861,2505335.895356245,59212486.7187203
Base Prepayment,18,59212486.7187203,1666666.6666666667,536359.8170552623,271390.56412746804,2474417.047849397,57009460.234998375
Base Prepayment,19,57009460.234998375,1666666.6666666667,515826.3555335019,261293.35941040923,2443786.381610578,54826967.21279821
Base Prepayment,20,54826967.21279821,1666666.6666666667,495484.27756758203,251290.26639199178,2413441.2106262404,52664816.268563956
Base Prepayment,21,52664816.268563956,1666666.6666666667,475331.7993537633,241380.4078975848,2383378.8739180146,50522817.80254353
Base Prepayment,22,50522817.80254353,1666666.6666666667,455367.153714373,231562.91492832452,2353596.7353093643,48400783.98216249
Base Prepayment,23,48400783.98216249,1666666.6666666667,435588.5899428409,221836.92658491142,2324092.1831944194,46298528.72555298
Base Prepayment,24,46298528.72555298,1666666.6666666667,415994.37365017907,212201.58999211784,2294862.6303089634,44215867.68523614
Base Prepayment,25,44215867.68523614,1666666.6666666667,396582.7866128926,202656.06022399897,2265905.513503558,42152618.23195658
Base Prepayment,26,42152618.23195658,1666666.6666666667,377352.1266223082,193199.500229801,2237218.293518776,40108599.4386676
Base Prepayment,27,40108599.4386676,1666666.6666666667,358300.70733530703,183831.08076055985,2208798.454762534,38083632.06466563
Base Prepayment,28,38083632.06466563,1666666.6666666667,339426.8581264484,174549.98029638414,2180643.5050894995,36077538.53987251
Base Prepayment,29,36077538.53987251,1666666.6666666667,320728.9239414722,165355.38497441568,2152750.975582555,34090142.94926437
Base Prepayment,30,34090142.94926437,1666666.6666666667,302205.26515216666,156246.4885174617,2125118.420336295,32121271.01744554
Base Prepayment,31,32121271.01744554,1666666.6666666667,283854.2574125888,147222.49216329205,2097743.416242548,30170750.093366284
Base Prepayment,32,30170750.093366284,1666666.6666666667,265674.2915166249,138282.60459459547,2070623.562777887,28238409.13518299
Base Prepayment,33,28238409.13518299,1666666.6666666667,247663.77325687875,129426.0418695887,2043756.4817931342,26324078.695259444
Base Prepayment,34,26324078.695259444,1666666.6666666667,229821.1232848749,120652.02735327245,2017139.8173048142,24427590.905307904
Base Prepayment,35,24427590.905307904,1666666.6666666667,212144.77697256533,111959.79164932789,1990771.23528856,22548779.46166867
Base Prepayment,36,22548779.46166867,1666666.6666666667,194633.1842751265,103348.57253264808,1964648.4234744413,20687479.610726878
Base Prepayment,37,20687479.610726878,1666666.6666666667,177284.8095950354,94817.6148824982,1938769.0911442004,18843528.134465177
Base Prepayment,38,18843528.134465177,1666666.6666666667,160098.13164741246,86366.17061629872,1913130.9689303779,17016763.336151097
Base Prepayment,39,17016763.336151097,1666666.6666666667,143071.64332661973,77993.49862402586,1887731.8086173122,15207025.026157811
Base Prepayment,40,15207025.026157811,1666666.6666666667,126203.85157410202,69698.8647032233,1862569.382943992,13414154.507917043
Base Prepayment,41,13414154.507917043,1666666.6666666667,109493.27724746031,61481.54149461978,1837641.4854087469,11637994.564002916
Base Prepayment,42,11637994.564002916,1666666.6666666667,92938.4549907451,53340.8084183467,1812945.9300757586,9878389.442345504
Base Prepayment,43,9878389.442345504,1666666.6666666667,76537.93310595893,45275.95161075023,1788480.551383376,8135184.842572878
Base Prepayment,44,8135184.842572878,1666666.6666666667,60290.27342575649,37286.26386179236,1764243.2039542156,6408227.902480455
Base Prepayment,45,6408227.902480455,1666666.6666666667,44194.05118733116,29371.04455303542,1740231.7624070332,4697367.184626457
Base Prepayment,46,4697367.184626457,1666666.6666666667,28247.854907477173,21529.599596204596,1716444.1211703487,3002452.663052313
Base Prepayment,47,3002452.663052313,1666666.6666666667,12450.286258816084,13761.241372323102,1692878.194297806,1323335.7101268303
Base Prepayment,48,1323335.7101268303,1323335.7101268303,0.0,6065.288671414639,1329400.9987982449,0.0
High Prepayment,1,100000000.0,1666666.6666666667,1505338.8116205325,458333.3333333333,3630338.811620533,96827994.5217128
High Prepayment,2,96827994.5217128,1666666.6666666667,1456780.069683529,443794.97489118367,3567241.7112413794,93704547.7853626
High Prepayment,3,93704547.7853626,1666666.6666666667,1408964.6907181991,429479.1773495786,3505110.5347344447,90628916.42797774
High Prepayment,4,90628916.42797774,1666666.6666666667,1361881.2949299763,415382.5336282313,3443930.4952248745,87600368.4663811
High Prepayment,5,87600368.4663811,1666666.6666666667,1315518.676732224,401501.6888042467,3383687.032203137,84618183.12298222
High Prepayment,6,84618183.12298222,1666666.6666666667,1269865.8020793672,387833.3393136685,3324365.8080597026,81681650.65423618
High Prepayment,7,81681650.65423618,1666666.6666666667,1224911.8058408524,374374.2321652492,3265952.7046727682,78790072.18172866
High Prepayment,8,78790072.18172866,1666666.6666666667,1180645.989215307,361121.1641662564,3208433.8200482302,75942759.52584669
High Prepayment,9,75942759.52584669,1666666.6666666667,1137057.8171842818,348070.98116013064,3151795.4650110793,73139035.04199573
High Prepayment,10,73139035.04199573,1666666.6666666667,1094136.9160049774,335220.5772758138,3096024.1599474577,70378231.45932409
High Prepayment,11,70378231.45932409,1666666.6666666667,1051873.0707413508,322566.89418856875,3041106.6315965867,67659691.72191608
High Prepayment,12,67659691.72191608,1666666.6666666667,1010256.2228330155,310106.92039211537,2987029.8098917976,64982768.8324164
High Prepayment,13,64982768.8324164,1666666.6666666667,969276.4677013621,297837.6904819085,2933780.8248499376,62346825.69804837
High Prepayment,14,62346825.69804837,1666666.6666666667,928924.0523923227,285756.28444938833,2881347.003508378,59751234.97898938
High Prepayment,15,59751234.97898938,1666666.6666666667,889189.3732552222,273859.82698703464,2829715.8669089237,57195378.93906749
High Prepayment,16,57195378.93906749,1666666.6666666667,850062.9736571629,262145.48680405936,2778875.127127889,54678649.29874366
High Prepayment,17,54678649.29874366,1666666.6666666667,811535.5417323976,250610.4759525751,2728812.6843516394,52200447.09034459
High Prepayment,18,52200447.09034459,1666666.6666666667,773597.9081661586,239252.0491640794,2679516.623996905,49760182.515511766
High Prepayment,19,49760182.515511766,1666666.6666666667,736241.0440124109,228067.50319609558,2630975.213875173,47357274.80483269
High Prepayment,20,47357274.80483269,1666666.6666666667,699456.058545013,217054.1761888165,2583176.9014004963,44991152.07962101
High Prepayment,21,44991152.07962101,1666666.6666666667,663234.1971417741,206209.4470315963,2536110.310840037,42661251.21581257
High Prepayment,22,42661251.21581257,1666666.6666666667,627566.8392009025,195530.73473914096,2489764.2406067103,40367017.709945
High Prepayment,23,40367017.709945,1666666.6666666667,592445.4960893496,185015.4978372479,2444127.6605932643,38107905.54718898
High Prepayment,24,38107905.54718898,1666666.6666666667,557861.8091225636,174661.2337579495,2399189.7095471798,35883377.07139975
High Prepayment,25,35883377.07139975,1666666.6666666667,523807.5475751676,164465.4782439155,2354939.6924857497,33692902.857157916
High Prepayment,26,33692902.857157916,1666666.6666666667,490274.6067220941,154425.8047619738,2311367.078150735,31535961.583769154
High Prepayment,27,31535961.583769154,1666666.6666666667,457255.0059097044,144539.82392560862,2268461.49650198,29412039.911192782
High Prepayment,28,29412039.911192782,1666666.6666666667,424740.8866564379,134805.18292630024,2226212.736249405,27320632.357869677
High Prepayment,29,27320632.357869677,1666666.6666666667,392724.5107825368,125219.56497356936,2184610.742422773,25261241.180420473
High Prepayment,30,25261241.180420473,1666666.6666666667,361198.2585684026,115780.68874359384,2143645.613978663,23233376.255185403
High Prepayment,31,23233376.255185403,1666666.6666666667,330154.6269411451,106486.30783626642,2103307.601444078,21236554.96157759
High Prepayment,32,21236554.96157759,1666666.6666666667,299586.2276888927,97334.21024056396,2063587.1045961236,19270302.067222033
High Prepayment,33,19270302.067222033,1666666.6666666667,269485.78570243885,88322.21780810098,2024474.6701772064,17334149.614852928
High Prepayment,34,17334149.614852928,1666666.6666666667,239846.13724380676,79448.18573474258,1985960.9896452161,15427636.810942454
High Prepayment,35,15427636.810942454,1666666.6666666667,210660.22824131942,70710.00205015292,1948036.8969581393,13550309.916034468
High Prepayment,36,13550309.916034468,1666666.6666666667,181921.11261076975,62105.58711515798,1910693.3663925943,11701722.136757031
High Prepayment,37,11701722.136757031,1666666.6666666667,153621.95060229106,53632.89312680306,1873921.5103957609,9881433.519488074
High Prepayment,38,9881433.519488074,1666666.6666666667,125756.00717253477,45289.903630987006,1837712.5774701885,8089010.845648873
High Prepayment,39,8089010.845648873,1666666.6666666667,98316.65038176731,37074.63304255733,1802057.9500909916,6324027.5286004385
High Prepayment,40,6324027.5286004385,1666666.6666666667,71297.34981550538,28985.12617275201,1766949.1426549242,4586063.512118267
High Prepayment,41,4586063.512118267,1666666.6666666667,44691.67503031366,21019.45776387539,1732377.7994608558,2874705.1704212865
High Prepayment,42,2874705.1704212865,1666666.6666666667,18493.294023394836,13175.732031097563,1698335.6927211592,1189545.209731225
High Prepayment,43,1189545.209731225,1189545.209731225,0.0,5452.082211268114,1194997.291942493,0.0
